标记点（置信度）,标记点,x坐标,y坐标,,
upper_leg 0.92,upper_leg ,1040.5,343.5,,
lower_leg 0.87,lower_leg ,958.5,2267,,
upper_leg 0.92,upper_leg ,1029.5,346.5,,
joint 0.92,joint ,1078.5,1262.5,,
lower_leg 0.87,lower_leg ,952.5,2264,,
joint 0.91,joint ,1071,1260,,
upper_leg 0.91,upper_leg ,1022,351,,
lower_leg 0.87,lower_leg ,952.5,2261,,
joint 0.90,joint ,1069,1265.5,,
upper_leg 0.91,upper_leg ,1019.5,354.5,,
lower_leg 0.87,lower_leg ,952.5,2261,,
joint 0.90,joint ,1069,1265.5,,
upper_leg 0.91,upper_leg ,1019.5,354.5,,
lower_leg 0.87,lower_leg ,955,2256,,
upper_leg 0.90,upper_leg ,1008,366.5,,
joint 0.90,joint ,1064.5,1264.5,,
lower_leg 0.89,lower_leg ,979.5,2245.5,,
upper_leg 0.90,upper_leg ,1019,375,,
joint 0.91,joint ,1102.5,1261.5,,
lower_leg 0.89,lower_leg ,979.5,2245.5,,
upper_leg 0.90,upper_leg ,1019,375,,
joint 0.91,joint ,1102.5,1261.5,,
lower_leg 0.89,lower_leg ,1108.5,2172,,
upper_leg 0.91,upper_leg ,1112.5,379.5,,
joint 0.91,joint ,1293,1222.5,,
lower_leg 0.90,lower_leg ,1244,2117,,
joint 0.90,joint ,1459.5,1173.5,,
upper_leg 0.91,upper_leg ,1219,358.5,,
lower_leg 0.89,lower_leg ,1404,2115.5,,
upper_leg 0.91,upper_leg ,1294.5,341.5,,
joint 0.92,joint ,1549.5,1146,,
lower_leg 0.88,lower_leg ,1552.5,2117,,
joint 0.90,joint ,1587.5,1141,,
upper_leg 0.92,upper_leg ,1315.5,344,,
lower_leg 0.90,lower_leg ,1677.5,2100,,
upper_leg 0.91,upper_leg ,1351,343.5,,
joint 0.91,joint ,1656.5,1128,,
lower_leg 0.90,lower_leg ,1770.5,2087.5,,
joint 0.91,joint ,1737.5,1112,,
upper_leg 0.92,upper_leg ,1412,338.5,,
lower_leg 0.90,lower_leg ,1770.5,2087.5,,
joint 0.91,joint ,1737.5,1112,,
upper_leg 0.92,upper_leg ,1412,338.5,,
lower_leg 0.88,lower_leg ,1855,2082.5,,
joint 0.90,joint ,1807.5,1107,,
upper_leg 0.92,upper_leg ,1474,337,,
lower_leg 0.90,lower_leg ,1884,2087.5,,
joint 0.91,joint ,1856,1109,,
upper_leg 0.92,upper_leg ,1509.5,337,,
lower_leg 0.90,lower_leg ,1884,2087.5,,
joint 0.91,joint ,1856,1109,,
upper_leg 0.92,upper_leg ,1509.5,337,,
joint 0.89,joint ,1887.5,1146.5,,
lower_leg 0.90,lower_leg ,1920.5,2125,,
upper_leg 0.90,upper_leg ,1543,359.5,,
upper_leg 0.88,upper_leg ,1554.5,373.5,,
joint 0.90,joint ,1892.5,1165,,
lower_leg 0.91,lower_leg ,1929.5,2140.5,,
upper_leg 0.88,upper_leg ,1554.5,373.5,,
joint 0.90,joint ,1892.5,1165,,
lower_leg 0.91,lower_leg ,1929.5,2140.5,,
upper_leg 0.89,upper_leg ,1555,393,,
lower_leg 0.90,lower_leg ,1937.5,2169,,
joint 0.91,joint ,1883,1197.5,,
joint 0.87,joint ,1898.5,1198,,
lower_leg 0.89,lower_leg ,1956,2186,,
upper_leg 0.90,upper_leg ,1579,394,,
upper_leg 0.90,upper_leg ,1614.5,401,,
lower_leg 0.90,lower_leg ,1979.5,2193.5,,
joint 0.94,joint ,1940.5,1209.5,,
upper_leg 0.90,upper_leg ,1614.5,401,,
lower_leg 0.90,lower_leg ,1979.5,2193.5,,
joint 0.94,joint ,1940.5,1209.5,,
lower_leg 0.88,lower_leg ,2040.5,2212.5,,
upper_leg 0.90,upper_leg ,1712.5,399.5,,
joint 0.94,joint ,2031,1223,,
lower_leg 0.87,lower_leg ,2075,2214,,
upper_leg 0.90,upper_leg ,1777,392,,
joint 0.92,joint ,2087.5,1227,,
lower_leg 0.87,lower_leg ,2075,2214,,
upper_leg 0.90,upper_leg ,1777,392,,
joint 0.92,joint ,2087.5,1227,,
joint 0.89,joint ,2208,1223,,
lower_leg 0.89,lower_leg ,2137.5,2225,,
upper_leg 0.91,upper_leg ,1939,364,,
lower_leg 0.87,lower_leg ,2145.5,2229.5,,
joint 0.91,joint ,2239,1228,,
upper_leg 0.91,upper_leg ,1993.5,349,,
lower_leg 0.87,lower_leg ,2155,2240.5,,
joint 0.90,joint ,2245,1239,,
upper_leg 0.91,upper_leg ,2070,333.5,,
joint 0.90,joint ,2228.5,1239.5,,
lower_leg 0.91,lower_leg ,2137.5,2245.5,,
upper_leg 0.91,upper_leg ,2080,324,,
joint 0.89,joint ,2220,1240,,
lower_leg 0.89,lower_leg ,2137.5,2245.5,,
upper_leg 0.91,upper_leg ,2081,315.5,,
joint 0.89,joint ,2220,1240,,
lower_leg 0.89,lower_leg ,2137.5,2245.5,,
upper_leg 0.91,upper_leg ,2081,315.5,,
lower_leg 0.34,lower_leg ,1731.5,2959.5,,
lower_leg 0.87,lower_leg ,2147,2248.5,,
joint 0.90,joint ,2237.5,1242,,
upper_leg 0.92,upper_leg ,2120,318,,
lower_leg 0.87,lower_leg ,2153,2246.5,,
joint 0.90,joint ,2242,1244,,
upper_leg 0.93,upper_leg ,2128,318,,
lower_leg 0.87,lower_leg ,2153,2246.5,,
joint 0.90,joint ,2242,1244,,
upper_leg 0.93,upper_leg ,2128,318,,
lower_leg 0.87,lower_leg ,2145,2237.5,,
joint 0.91,joint ,2226.5,1231.5,,
upper_leg 0.92,upper_leg ,2142,308,,
lower_leg 0.88,lower_leg ,2173.5,2231.5,,
upper_leg 0.89,upper_leg ,2203.5,310,,
joint 0.91,joint ,2282.5,1231,,
lower_leg 0.89,lower_leg ,2178,2223.5,,
joint 0.90,joint ,2303,1229,,
upper_leg 0.92,upper_leg ,2245.5,308.5,,
lower_leg 0.88,lower_leg ,2194,2219,,
joint 0.91,joint ,2328,1223,,
upper_leg 0.91,upper_leg ,2266,307,,
lower_leg 0.88,lower_leg ,2197,2216,,
joint 0.91,joint ,2336,1222,,
upper_leg 0.91,upper_leg ,2279.5,304.5,,
lower_leg 0.88,lower_leg ,2197,2216,,
joint 0.91,joint ,2336,1222,,
upper_leg 0.91,upper_leg ,2279.5,304.5,,
lower_leg 0.87,lower_leg ,2201.5,2215.5,,
upper_leg 0.89,upper_leg ,2303,312,,
joint 0.91,joint ,2342.5,1228.5,,
lower_leg 0.87,lower_leg ,2206.5,2215.5,,
upper_leg 0.90,upper_leg ,2307.5,309.5,,
joint 0.91,joint ,2351.5,1221,,
lower_leg 0.87,lower_leg ,2206.5,2215.5,,
upper_leg 0.90,upper_leg ,2311,312,,
joint 0.91,joint ,2351.5,1221,,
lower_leg 0.88,lower_leg ,2207.5,2217,,
joint 0.91,joint ,2353.5,1226.5,,
upper_leg 0.92,upper_leg ,2323.5,315.5,,
lower_leg 0.88,lower_leg ,2206.5,2217,,
joint 0.91,joint ,2353,1226.5,,
upper_leg 0.92,upper_leg ,2323.5,315,,
lower_leg 0.88,lower_leg ,2206.5,2219,,
joint 0.91,joint ,2348.5,1227,,
upper_leg 0.91,upper_leg ,2319,314.5,,
lower_leg 0.88,lower_leg ,2206.5,2219,,
joint 0.90,joint ,2348.5,1227,,
upper_leg 0.91,upper_leg ,2319,314.5,,
lower_leg 0.87,lower_leg ,2203,2219,,
joint 0.90,joint ,2343.5,1229,,
upper_leg 0.91,upper_leg ,2314.5,311,,
lower_leg 0.87,lower_leg ,2201.5,2219,,
upper_leg 0.90,upper_leg ,2311,310.5,,
joint 0.91,joint ,2342,1229.5,,
lower_leg 0.87,lower_leg ,2201.5,2220.5,,
upper_leg 0.90,upper_leg ,2304.5,308.5,,
joint 0.90,joint ,2337.5,1230.5,,
lower_leg 0.87,lower_leg ,2201.5,2220.5,,
upper_leg 0.90,upper_leg ,2304.5,307.5,,
joint 0.90,joint ,2337.5,1230.5,,
lower_leg 0.87,lower_leg ,2201.5,2220.5,,
upper_leg 0.90,upper_leg ,2304.5,307.5,,
joint 0.90,joint ,2337.5,1230.5,,
lower_leg 0.87,lower_leg ,2201.5,2220.5,,
upper_leg 0.90,upper_leg ,2308,309,,
joint 0.91,joint ,2337.5,1230.5,,
lower_leg 0.87,lower_leg ,2202,2217.5,,
upper_leg 0.89,upper_leg ,2305,308.5,,
joint 0.91,joint ,2334,1230.5,,
lower_leg 0.88,lower_leg ,2202,2217.5,,
upper_leg 0.89,upper_leg ,2305,308.5,,
joint 0.91,joint ,2334,1230.5,,
upper_leg 0.87,upper_leg ,2297,304.5,,
lower_leg 0.88,lower_leg ,2197,2220,,
joint 0.91,joint ,2331,1230.5,,
upper_leg 0.88,upper_leg ,2293.5,303.5,,
lower_leg 0.88,lower_leg ,2195,2220,,
joint 0.91,joint ,2328,1230.5,,
lower_leg 0.89,lower_leg ,2194,2220,,
upper_leg 0.90,upper_leg ,2289,303.5,,
joint 0.91,joint ,2327,1230.5,,
lower_leg 0.89,lower_leg ,2194,2220,,
upper_leg 0.90,upper_leg ,2287.5,302.5,,
joint 0.91,joint ,2327,1231.5,,
lower_leg 0.88,lower_leg ,2194,2220,,
upper_leg 0.90,upper_leg ,2287.5,302.5,,
joint 0.91,joint ,2327,1231.5,,
lower_leg 0.88,lower_leg ,2194,2220,,
upper_leg 0.90,upper_leg ,2287.5,302.5,,
joint 0.91,joint ,2327,1231.5,,
lower_leg 0.88,lower_leg ,2192,2220,,
upper_leg 0.90,upper_leg ,2286,302.5,,
joint 0.91,joint ,2325,1231.5,,
lower_leg 0.88,lower_leg ,2192,2220,,
upper_leg 0.90,upper_leg ,2284.5,302.5,,
joint 0.91,joint ,2325,1230.5,,
lower_leg 0.88,lower_leg ,2192,2220,,
upper_leg 0.90,upper_leg ,2284.5,302.5,,
joint 0.91,joint ,2325,1230.5,,
lower_leg 0.88,lower_leg ,2192,2220,,
upper_leg 0.90,upper_leg ,2284.5,302.5,,
joint 0.91,joint ,2325,1230.5,,
lower_leg 0.88,lower_leg ,2191,2220,,
upper_leg 0.90,upper_leg ,2282.5,302.5,,
joint 0.91,joint ,2323,1230.5,,
lower_leg 0.88,lower_leg ,2192,2220,,
upper_leg 0.91,upper_leg ,2282.5,302.5,,
joint 0.91,joint ,2323,1230.5,,
lower_leg 0.88,lower_leg ,2192,2220,,
upper_leg 0.91,upper_leg ,2282.5,302.5,,
joint 0.91,joint ,2323,1230.5,,
lower_leg 0.88,lower_leg ,2191,2220,,
joint 0.91,joint ,2323,1230.5,,
upper_leg 0.91,upper_leg ,2281.5,302,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
