标记点（置信度）,标记点,x坐标,y坐标,,
lower_leg 0.90,lower_leg ,1787.5,1815.5,,
joint 0.91,joint ,2464,1140,,
upper_leg 0.92,upper_leg ,2136,367.5,,
lower_leg 0.88,lower_leg ,1847,1911,,
joint 0.91,joint ,2447,1157,,
upper_leg 0.91,upper_leg ,2120.5,376,,
lower_leg 0.88,lower_leg ,1847,1911,,
joint 0.91,joint ,2447,1157,,
upper_leg 0.91,upper_leg ,2120.5,376,,
joint 0.90,joint ,2358,1194,,
upper_leg 0.91,upper_leg ,2061,402,,
lower_leg 0.91,lower_leg ,1936,2069,,
lower_leg 0.90,lower_leg ,1937.5,2134.5,,
joint 0.91,joint ,2298.5,1225,,
upper_leg 0.92,upper_leg ,2017,427,,
lower_leg 0.90,lower_leg ,1937.5,2134.5,,
joint 0.91,joint ,2298.5,1225,,
upper_leg 0.92,upper_leg ,2017,427,,
lower_leg 0.89,lower_leg ,1903.5,2164,,
joint 0.91,joint ,2212.5,1251,,
upper_leg 0.91,upper_leg ,1959.5,439.5,,
joint 0.90,joint ,2194,1251.5,,
lower_leg 0.91,lower_leg ,1886,2175,,
upper_leg 0.91,upper_leg ,1945,436.5,,
lower_leg 0.90,lower_leg ,1859.5,2187.5,,
joint 0.90,joint ,2145,1259,,
upper_leg 0.92,upper_leg ,1920.5,436.5,,
lower_leg 0.89,lower_leg ,1828,2204.5,,
upper_leg 0.91,upper_leg ,1892,436.5,,
joint 0.91,joint ,2102,1261.5,,
lower_leg 0.89,lower_leg ,1828,2204.5,,
upper_leg 0.91,upper_leg ,1892,436.5,,
joint 0.91,joint ,2102,1261.5,,
lower_leg 0.90,lower_leg ,1775,2225,,
joint 0.91,joint ,2001.5,1271,,
upper_leg 0.92,upper_leg ,1819,434,,
lower_leg 0.87,lower_leg ,1753,2230,,
joint 0.90,joint ,1953,1266.5,,
upper_leg 0.92,upper_leg ,1779.5,420,,
lower_leg 0.87,lower_leg ,1753,2230,,
joint 0.90,joint ,1953,1266.5,,
upper_leg 0.92,upper_leg ,1779.5,420,,
joint 0.90,joint ,1901.5,1269.5,,
lower_leg 0.91,lower_leg ,1733,2239,,
upper_leg 0.91,upper_leg ,1742,402.5,,
joint 0.90,joint ,1896.5,1273.5,,
lower_leg 0.91,lower_leg ,1734.5,2242,,
upper_leg 0.91,upper_leg ,1740.5,399,,
joint 0.91,joint ,1890.5,1274,,
lower_leg 0.91,lower_leg ,1734.5,2245,,
upper_leg 0.92,upper_leg ,1734.5,401.5,,
joint 0.89,joint ,1897,1273.5,,
lower_leg 0.91,lower_leg ,1736,2244,,
upper_leg 0.91,upper_leg ,1739,402,,
joint 0.89,joint ,1897,1273.5,,
lower_leg 0.91,lower_leg ,1736,2244,,
upper_leg 0.91,upper_leg ,1739,402,,
